Year,Name,Goals,Assists
2008,Xavi,1,1
2008,Villa,4,0
2008,Torres,2,1
2008,Silva,1,1
2008,Iniesta,0,2
2008,Guiza,2,1
2008,Sergio Garcia,0,1
2008,Fabregas,1,3
2008,de la Red,1,0
2008,Capdevila,0,1
2010,Xavi,0,2
2010,Villa,5,1
2010,Puyol,1,0
2010,Navas,0,1
2010,Iniesta,2,0
2010,Fabregas,0,1
2012,Xavi,0,2
2012,Torres,3,1
2012,Silva,2,3
2012,Navas,1,0
2012,Mata,1,0
2012,Iniesta,0,1
2012,Fabregas,2,1
2012,Xabi Alonso,2,0
2012,Jordi Alba,1,1
Overall,Xavi,1,5
Overall,Villa,9,1
Overall,Torres,5,1
Overall,Silva,3,4
Overall,Puyol,1,0
Overall,Navas,1,1
Overall,Mata,1,0
Overall,Iniesta,2,3
Overall,Guiza,2,1
Overall,Sergio Garcia,0,1
Overall,Fabregas,3,5
Overall,de la Red,1,0
Overall,Capdevila,0,1
Overall,Xabi Alonso,2,0
Overall,Jordi Alba,1,1
