Date,Name,Age,Club
2008,Carlos Marchena,28, Valencia
2008,Pepe Reina,25, Liverpool
2008,Sergio Ramos,22, Real Madrid
2008,Xabi Alonso,26, Liverpool
2008,Fernando Navarro,25, Mallorca
2008,Xavi,28, Barcelona
2008,Juanito,31, Real Betis
2008,Andrés Palop,34, Sevilla
2008,Iker Casillas,27, Real Madrid
2008,Fernando Torres,24, Liverpool
2008,Marcos Senna,31, Villarreal
2008,Álvaro Arbeloa,25, Liverpool
2008,Daniel Güiza,27, Mallorca
2008,Santi Cazorla,23, Villarreal
2008,Carles Puyol,30, Barcelona
2008,Andrés Iniesta,24, Barcelona
2008,Sergio García,24, Zaragoza
2008,David Silva,22, Valencia
2008,Rubén de la Red,23, Getafe
2008,Raúl Albiol,22, Valencia
2008,Cesc Fàbregas,21, Arsenal
2008,Joan Capdevila,30, Villarreal
2008,David Villa,26, Valencia
2010,Iker Casillas ,29, Real Madrid
2010,Raúl Albiol,24, Real Madrid
2010,Gerard Piqué,23, Barcelona
2010,Carlos Marchena,30, Valencia
2010,Carles Puyol,32, Barcelona
2010,Andrés Iniesta,26, Barcelona
2010,David Villa,28, Valencia
2010,Xavi,30, Barcelona
2010,Fernando Torres,26, Liverpool
2010,Cesc Fàbregas,23, Arsenal
2010,Joan Capdevila,32, Villarreal
2010,Víctor Valdés,28, Barcelona
2010,Juan Mata,22, Valencia
2010,Xabi Alonso,28, Real Madrid
2010,Sergio Ramos,24, Real Madrid
2010,Sergio Busquets,21, Barcelona
2010,Álvaro Arbeloa,27, Real Madrid
2010,Pedro,22, Barcelona
2010,Fernando Llorente,25, Athletic Bilbao
2010,Javi Martínez,21, Athletic Bilbao
2010,David Silva,24, Valencia
2010,Jesús Navas,24, Sevilla
2010,Pepe Reina,27, Liverpool
2012,Iker Casillas,31, Real Madrid
2012,Raúl Albiol,26, Real Madrid
2012,Gerard Piqué,25, Barcelona
2012,Javi Martínez,23, Athletic Bilbao
2012,Juanfran,27, Atlético Madrid
2012,Andrés Iniesta,28, Barcelona
2012,Pedro,24, Barcelona
2012,Xavi,32, Barcelona
2012,Fernando Torres,28, Chelsea
2012,Cesc Fàbregas,25, Barcelona
2012,Álvaro Negredo,26, Sevilla
2012,Víctor Valdés,30, Barcelona
2012,Juan Mata,24, Chelsea
2012,Xabi Alonso,30, Real Madrid
2012,Sergio Ramos,26, Real Madrid
2012,Sergio Busquets,23, Barcelona
2012,Álvaro Arbeloa,29, Real Madrid
2012,Jordi Alba,23, Valencia
2012,Fernando Llorente,27, Athletic Bilbao
2012,Santi Cazorla,27, Málaga
2012,David Silva,26, Manchester City
2012,Jesús Navas,26, Sevilla
2012,Pepe Reina,29, Liverpool
