mins,passes,colour,name
120,18,#ff4f00,Maarten Stekelenburg
120,27,#ff4f00,Joris Mathijsen
105,11,#ff4f00,Giovanni van Bronckhorst
109,20,#ff4f00,Johnny Heitinga
120,24,#ff4f00,Gregory Van der Wiel
120,31,#ff4f00,Mark van Bommel
120,29,#ff4f00,Wesley Sneijder
99,26,#ff4f00,Nigel de Jong
120,20,#ff4f00,Robin van Persie
71,13,#ff4f00,Dirk Kuyt
120,13,#ff4f00,Arjen Robben
21,10,#ff4f00,Rafael Van der Vaart
49,5,#ff4f00,Eljero Elia
15,2,#ff4f00,Edson Braafheid
120,8,#03206B,Iker Casillas
120,54,#03206B,Carles Puyol
120,48,#03206B,Gerard Pique
120,36,#03206B,Joan Capdevila
120,42,#03206B,Sergio Ramos
87,44,#03206B,Xabi Alonso
120,69,#03206B,Sergio Busquets
120,90,#03206B,Xavi
60,20,#03206B,Pedro Rodriguez
120,49,#03206B,Andres Iniesta
105,11,#03206B,David Villa
60,13,#03206B,Jesus Navas
15,1,#03206B,Fernando Torres
33,30,#03206B,Francesc Fabregas
